t,mean,max
27800,0.532446,1
27850,0.538864,1
27900,0.535143,1
27950,0.524046,1
28000,0.532268,1
28050,0.535665,1
28100,0.536526,1
28150,0.531933,1
28200,0.533182,1
28250,0.540336,1
28300,0.543963,1
28350,0.532657,1
28400,0.52918,1
28450,0.530829,1
28500,0.539348,1
28550,0.540037,1
28600,0.539568,1
28650,0.545544,1
28700,0.546487,1
28750,0.541029,1
28800,0.540609,1
28850,0.555059,1
28900,0.565665,1
28950,0.567859,1
29000,0.558588,1
29050,0.55577,1
29100,0.556704,1
29150,0.55617,1
29200,0.553862,1
29250,0.561257,1
29300,0.564267,1
29350,0.563395,1
29400,0.557797,1
29450,0.563433,1
29500,0.572032,1
29550,0.57026,1
29600,0.570638,1
29650,0.566261,1
29700,0.564788,1
29750,0.56413,1
29800,0.565274,1
29850,0.561407,1
29900,0.561023,1
29950,0.571385,1
30000,0.580089,1
30050,0.576122,1
30100,0.573957,1
30150,0.57808,1
30200,0.575366,1
30250,0.572827,1
30300,0.575295,1
30350,0.572544,1
30400,0.570092,1
30450,0.571296,1
30500,0.571611,1
30550,0.566385,1
30600,0.575358,1
30650,0.578978,1
30700,0.574269,1
30750,0.574131,1
30800,0.577575,1
30850,0.578004,1
30900,0.577695,1
30950,0.584501,1
31000,0.584118,1
31050,0.588054,1
31100,0.594939,1
31150,0.595759,1
31200,0.589392,1
31250,0.587826,1
31300,0.58492,1
31350,0.580098,1
31400,0.581458,1
31450,0.585905,1
31500,0.583772,1
31550,0.586365,1
31600,0.591316,1
31650,0.58898,1
31700,0.596693,1
31750,0.604133,1
31800,0.597808,1
31850,0.592396,1
31900,0.591083,1
31950,0.598334,1
32000,0.594314,1
32050,0.587852,1
32100,0.591268,1
32150,0.586431,1
32200,0.57997,1
32250,0.577347,1
32300,0.572974,1
32350,0.566064,1
32400,0.56024,1
32450,0.562906,1
32500,0.557729,1
32550,0.549156,1
32600,0.549932,1
32650,0.546986,1
32700,0.541366,1
32750,0.53955,1
32800,0.546544,1
32850,0.544244,1
32900,0.542385,1
32950,0.543968,1
33000,0.542112,1
33050,0.53804,1
33100,0.53938,1
33150,0.541478,1
33200,0.545427,1
33250,0.54603,1
33300,0.541221,1
33350,0.542067,1
33400,0.541633,1
33450,0.536963,1
33500,0.545201,1
33550,0.547867,1
33600,0.552179,1
33650,0.550659,1
33700,0.550059,1
33750,0.553301,1
33800,0.548064,1
33850,0.555997,1
33900,0.569372,1
33950,0.574989,1
34000,0.573771,1
34050,0.562171,1
34100,0.574522,1
34150,0.580887,1
34200,0.580759,1
34250,0.572318,1
34300,0.573089,1
34350,0.576139,1
34400,0.57504,1
34450,0.569545,1
34500,0.57059,1
34550,0.577158,1
34600,0.577134,1
34650,0.572761,1
34700,0.58084,1
34750,0.587657,1
34800,0.583819,1
34850,0.575263,1
34900,0.572461,1
34950,0.578118,1
35000,0.57486,1
35050,0.565961,1
35100,0.568823,1
35150,0.577032,1
35200,0.581027,1
35250,0.582023,1
35300,0.595363,1
35350,0.601878,1
35400,0.608504,1
35450,0.606325,1
35500,0.614927,1
35550,0.624396,1
35600,0.623586,1
35650,0.611821,1
35700,0.606925,1
35750,0.618401,1
35800,0.628799,1
35850,0.622896,1
35900,0.613218,1
35950,0.614042,1
36000,0.612101,1
36050,0.60747,1
36100,0.600785,1
36150,0.601657,1
36200,0.608664,1
36250,0.611404,1
36300,0.603632,1
36350,0.600105,1
36400,0.601347,1
36450,0.599864,1
36500,0.588991,1
36550,0.584248,1
36600,0.59314,1
36650,0.59466,1
36700,0.585693,1
36750,0.580572,1
36800,0.582501,1
36850,0.587313,1
36900,0.588692,1
36950,0.58983,1
37000,0.59394,1
37050,0.606136,1
37100,0.609745,1
37150,0.610602,1
37200,0.620985,1
37250,0.634251,1
37300,0.635035,1
37350,0.628563,1
37400,0.62216,1
37450,0.622629,1
37500,0.621397,1
37550,0.621525,1
37600,0.618096,1
37650,0.619215,1
37700,0.621744,1
37750,0.617218,1
37800,0.620997,1
37850,0.633016,1
37900,0.626221,1
37950,0.619031,1
38000,0.621453,1
38050,0.617979,1
38100,0.614823,1
38150,0.620284,1
38200,0.614946,1
38250,0.606535,1
38300,0.609658,1
38350,0.607473,1
38400,0.611702,1
38450,0.616367,1
38500,0.623881,1
38550,0.616391,1
38600,0.609254,1
38650,0.608407,1
38700,0.603018,1
38750,0.604043,1
38800,0.612181,1
38850,0.604361,1
38900,0.598002,1
38950,0.599641,1
39000,0.598137,1
39050,0.591951,1
39100,0.589375,1
39150,0.589199,1
39200,0.587062,1
39250,0.580043,1
39300,0.586843,1
39350,0.593566,1
39400,0.601113,1
39450,0.600053,1
39500,0.597984,1
39550,0.588932,1
39600,0.585753,1
39650,0.597281,1
39700,0.599092,1
39750,0.590031,1
39800,0.59267,1
39850,0.585758,1
39900,0.57493,1
39950,0.576305,1
40000,0.582033,1
40050,0.577973,1
40100,0.571091,1
40150,0.573602,1
40200,0.56589,1
40250,0.557737,1
40300,0.560964,1
40350,0.555942,1
40400,0.549624,1
40450,0.552818,1
40500,0.553472,1
40550,0.545669,1
40600,0.538217,1
40650,0.534826,1
40700,0.538759,1
40750,0.541371,1
40800,0.534583,1
